2025-12-01T23:22:06.000000000Z [inf]  Starting Container
2025-12-01T23:30:41.591558466Z [inf]  [Auth] No Bearer token found - returning 401
2025-12-01T23:30:41.591565010Z [inf]  11:30:40 PM [express] GET /api/admin/seats 401 in 1ms :: {"message":"Unauthorized - No token"}
2025-12-01T23:32:51.354050254Z [inf]  [DB] Connected to Supabase successfully
2025-12-01T23:32:51.354059318Z [inf]  [DB] Connected to Supabase successfully
2025-12-01T23:32:51.354067332Z [inf]  11:32:45 PM [express] GET /api/prelaunch/stats 200 in 264ms :: {"totalReserved":0,"founderDeposits":0…
2025-12-01T23:32:51.354075183Z [inf]  11:32:45 PM [express] GET /api/seats/availability 200 in 388ms :: [{"id":"5b2c079b-6680-443a-823e-bf0…
2025-12-01T23:32:52.407667595Z [inf]  11:32:52 PM [express] GET /api/auth/user 304 in 126ms :: {"id":"c4e12a8b-b835-4daf-8506-7b8b5b7f227c"…
2025-12-01T23:32:52.661100371Z [inf]  11:32:52 PM [express] GET /api/auth/user 401 in 58ms :: {"message":"Invalid session"}
2025-12-01T23:32:54.237544673Z [inf]  11:32:54 PM [express] GET /api/prelaunch/stats 304 in 94ms :: {"totalReserved":0,"founderDeposits":0,…
2025-12-01T23:32:54.237552122Z [inf]  11:32:54 PM [express] GET /api/seats/availability 304 in 183ms :: [{"id":"5b2c079b-6680-443a-823e-bf0…
2025-12-01T23:32:59.593962914Z [err]      at /app/node_modules/pg-pool/index.js:45:11
2025-12-01T23:32:59.593969155Z [err]      at process.processTicksAndRejections (node:internal/process/task_queues:95:5)
2025-12-01T23:32:59.593974345Z [inf]  11:32:58 PM [express] GET /api/sculptures 304 in 28ms :: [{"id":"1b5bcff5-e900-45dd-8d94-e28b03bef95b…
2025-12-01T23:32:59.593977002Z [err]      at async file:///app/node_modules/drizzle-orm/node-postgres/session.js:83:22
2025-12-01T23:32:59.593985807Z [err]      at async DatabaseStorage.getAllSpecimenCustomizations (file:///app/dist/index.js:1022:12)
2025-12-01T23:32:59.593986258Z [inf]  11:32:59 PM [express] GET /api/seats/availability 304 in 180ms :: [{"id":"5b2c079b-6680-443a-823e-bf0…
2025-12-01T23:32:59.593992218Z [err]  [Specimen] Get customizations error: error: relation "specimen_customizations" does not exist
2025-12-01T23:32:59.594003367Z [err]      at async file:///app/dist/index.js:4825:30 {
2025-12-01T23:32:59.594008542Z [err]    length: 122,
2025-12-01T23:32:59.594013475Z [err]    severity: 'ERROR',
2025-12-01T23:32:59.594018919Z [err]    code: '42P01',
2025-12-01T23:32:59.594378837Z [err]    hint: undefined,
2025-12-01T23:32:59.594390366Z [err]    position: '79',
2025-12-01T23:32:59.594396898Z [err]    internalPosition: undefined,
2025-12-01T23:32:59.594772547Z [err]    detail: undefined,
2025-12-01T23:32:59.598515745Z [err]    internalQuery: undefined,
2025-12-01T23:32:59.598526962Z [err]    where: undefined,
2025-12-01T23:32:59.598533893Z [err]    schema: undefined,
2025-12-01T23:32:59.598539928Z [err]    table: undefined,
2025-12-01T23:32:59.598546097Z [err]    column: undefined,
2025-12-01T23:32:59.598552260Z [err]    dataType: undefined,
2025-12-01T23:32:59.598560599Z [err]    constraint: undefined,
2025-12-01T23:32:59.598566730Z [err]    file: 'parse_relation.c',
2025-12-01T23:32:59.598572175Z [err]    line: '1449',
2025-12-01T23:32:59.599290136Z [err]  }
2025-12-01T23:32:59.599300283Z [inf]  11:32:59 PM [express] GET /api/specimen-customizations 500 in 26ms :: {"error":"relation \"specimen_c…
2025-12-01T23:32:59.599332857Z [err]    routine: 'parserOpenTable'
2025-12-01T23:33:18.784815487Z [err]    internalQuery: undefined,
2025-12-01T23:33:18.784822907Z [err]    length: 122,
2025-12-01T23:33:18.784829522Z [err]    where: undefined,
2025-12-01T23:33:18.784837208Z [err]    severity: 'ERROR',
2025-12-01T23:33:18.784844323Z [err]    code: '42P01',
2025-12-01T23:33:18.784852592Z [err]    detail: undefined,
2025-12-01T23:33:18.784855986Z [inf]  [DB] Connected to Supabase successfully
2025-12-01T23:33:18.784861873Z [err]    hint: undefined,
2025-12-01T23:33:18.784866665Z [inf]  11:33:12 PM [express] GET /api/auth/user 200 in 300ms :: {"id":"a85ab0c3-90a7-4f5b-86c1-366036a1781b"…
2025-12-01T23:33:18.784872958Z [err]    position: '79',
2025-12-01T23:33:18.784876693Z [inf]  [DB] Connected to Supabase successfully
2025-12-01T23:33:18.784880887Z [err]    internalPosition: undefined,
2025-12-01T23:33:18.784885660Z [inf]  11:33:13 PM [express] GET /api/seats/availability 304 in 184ms :: [{"id":"5b2c079b-6680-443a-823e-bf0…
2025-12-01T23:33:18.784892315Z [inf]  11:33:14 PM [express] GET /api/prelaunch/stats 304 in 265ms :: {"totalReserved":0,"founderDeposits":0…
2025-12-01T23:33:18.784898590Z [inf]  11:33:16 PM [express] GET /api/seats/availability 304 in 173ms :: [{"id":"5b2c079b-6680-443a-823e-bf0…
2025-12-01T23:33:18.784905155Z [err]  [Specimen] Get customizations error: error: relation "specimen_customizations" does not exist
2025-12-01T23:33:18.784911407Z [err]      at /app/node_modules/pg-pool/index.js:45:11
2025-12-01T23:33:18.784921103Z [err]      at process.processTicksAndRejections (node:internal/process/task_queues:95:5)
2025-12-01T23:33:18.784927938Z [err]      at async file:///app/node_modules/drizzle-orm/node-postgres/session.js:83:22
2025-12-01T23:33:18.784933744Z [err]      at async DatabaseStorage.getAllSpecimenCustomizations (file:///app/dist/index.js:1022:12)
2025-12-01T23:33:18.784940061Z [err]      at async file:///app/dist/index.js:4825:30 {
2025-12-01T23:33:18.792694318Z [err]    schema: undefined,
2025-12-01T23:33:18.792707864Z [err]    table: undefined,
2025-12-01T23:33:18.792715472Z [err]    column: undefined,
2025-12-01T23:33:18.792721942Z [err]    dataType: undefined,
2025-12-01T23:33:18.792729222Z [err]    constraint: undefined,
2025-12-01T23:33:18.792736099Z [err]    file: 'parse_relation.c',
2025-12-01T23:33:18.792742726Z [err]    line: '1449',
2025-12-01T23:33:18.792749316Z [err]    routine: 'parserOpenTable'
2025-12-01T23:33:18.792755888Z [err]  }
2025-12-01T23:33:18.792762949Z [inf]  11:33:16 PM [express] GET /api/specimen-customizations 500 in 29ms :: {"error":"relation \"specimen_c…
2025-12-01T23:33:18.792769873Z [inf]  [DB] Connected to Supabase successfully
2025-12-01T23:33:18.792776535Z [inf]  11:33:16 PM [express] GET /api/sculptures 304 in 185ms :: [{"id":"1b5bcff5-e900-45dd-8d94-e28b03bef95…
2025-12-01T23:33:22.508928709Z [inf]  11:33:22 PM [express] GET /api/seats/availability 304 in 171ms :: [{"id":"5b2c079b-6680-443a-823e-bf0…
2025-12-01T23:33:43.000000000Z [inf]  Stopping Container
